work_idx	cmd	local pid	queued	run_idx	status	worker	local start time	local end time	local elapsed time	remote start time	remote end time	remote elapsed time	user time	system time	max rss	shared	unshared	stack	minor faults	major faults	pid	io
24	mProjectPP  -X -x 1.14646 ../../data/data2/2mass-atlas-981123n-j0710220.fits p2mass-atlas-981123n-j0710220.fits ../../data/data2/region.hdr 	19636	0.199	24	exit 0	huscs018-kabe-2011-06-05-21-41-39-2930	0.219077	2.879257	2.660180	1.067878	2.871384	1.80350613594	1.052065	0.028001	0	0	0	0	4850	0	19680	[struct stat="OK", time=2]
#	
25	mProjectPP  -X -x 1.04645 ../../data/data2/2mass-atlas-001025n-j0730232.fits p2mass-atlas-001025n-j0730232.fits ../../data/data2/region.hdr 	19634	0.200	25	exit 0	huscs012-kabe-2011-06-05-21-41-29-18599	0.232200	3.364525	3.132325	0.474502	3.296995	2.82249307632	1.100068	0.052004	0	0	0	0	4816	0	19685	[struct stat="OK", time=3]
#	
26	mProjectPP  -X -x 0.95034 ../../data/data2/2mass-atlas-971021n-j0390232.fits p2mass-atlas-971021n-j0390232.fits ../../data/data2/region.hdr 	19640	0.200	26	exit 0	huscs013-kabe-2011-06-05-21-41-29-4407	0.235257	3.178769	2.943512	0.682993	3.168667	2.48567390442	1.092068	0.040002	0	0	0	0	4830	0	19686	[struct stat="OK", time=2]
#	
27	mProjectPP  -X -x 0.95069 ../../data/data2/2mass-atlas-971021n-j0380056.fits p2mass-atlas-971021n-j0380056.fits ../../data/data2/region.hdr 	19641	0.200	27	exit 0	huscs008-kabe-2011-06-05-21-41-29-30549	0.235257	4.746452	4.511195	1.046627	4.564515	3.51788806915	1.820114	0.044002	0	0	0	0	4822	0	19687	[struct stat="OK", time=3]
#	
28	mProjectPP  -X -x 1.07508 ../../data/data2/2mass-atlas-001016n-j0980056.fits p2mass-atlas-001016n-j0980056.fits ../../data/data2/region.hdr 	19639	0.200	28	exit 0	huscs006-kabe-2011-06-05-21-41-29-8239	0.235257	4.934937	4.699680	0.520283	4.920604	4.40032100677	1.832114	0.040003	0	0	0	0	4835	0	19688	[struct stat="OK", time=5]
#	
29	mProjectPP  -X -x 1.01139 ../../data/data2/2mass-atlas-981204n-j0350220.fits p2mass-atlas-981204n-j0350220.fits ../../data/data2/region.hdr 	19642	0.201	29	exit 0	huscs005-kabe-2011-06-05-21-41-29-29562	0.235257	4.747679	4.512422	0.664399	4.652359	3.98795986176	1.728108	0.076005	0	0	0	0	4861	0	19689	[struct stat="OK", time=3]
#	
30	mProjectPP  -X -x 1.01195 ../../data/data2/2mass-atlas-981204n-j0340080.fits p2mass-atlas-981204n-j0340080.fits ../../data/data2/region.hdr 	19643	0.209	30	exit 0	huscs003-kabe-2011-04-11-00-17-13-11061	0.235257	3.601284	3.366027	0.770684	3.561276	2.7905921936	1.160073	0.016001	0	0	0	0	4893	0	19690	[struct stat="OK", time=2]
#	
31	mProjectPP  -X -x 1.14667 ../../data/data2/2mass-atlas-981123n-j0710197.fits p2mass-atlas-981123n-j0710197.fits ../../data/data2/region.hdr 	19646	0.211	31	exit 0	huscs006-kabe-2011-04-11-00-17-13-21996	0.241360	4.568263	4.326903	0.569914	4.533860	3.96394610405	1.464092	0.068004	0	0	0	0	4894	0	19691	[struct stat="OK", time=4]
#	
32	mProjectPP  -X -x 1.07498 ../../data/data2/2mass-atlas-001016n-j0980080.fits p2mass-atlas-001016n-j0980080.fits ../../data/data2/region.hdr 	19645	0.211	32	exit 0	huscs014-kabe-2011-04-11-00-17-13-8417	0.241360	3.364902	3.123542	0.845554	3.303253	2.45769906044	1.108070	0.044003	0	0	0	0	4854	0	19692	[struct stat="OK", time=2]
#	
33	mProjectPP  -X -x 1.14657 ../../data/data2/2mass-atlas-981123n-j0710209.fits p2mass-atlas-981123n-j0710209.fits ../../data/data2/region.hdr 	19644	0.214	33	exit 0	huscs002-kabe-2011-06-05-21-41-34-26464	0.241360	3.365750	3.124390	0.523692	3.316845	2.79315304756	1.060066	0.064004	0	0	0	0	4847	0	19693	[struct stat="OK", time=3]
#	
34	mProjectPP  -X -x 1.01158 ../../data/data2/2mass-atlas-981204n-j0350197.fits p2mass-atlas-981204n-j0350197.fits ../../data/data2/region.hdr 	19666	0.223	34	exit 0	huscs010-kabe-2011-06-05-21-41-34-25186	0.241360	3.960017	3.718657	1.248019	3.950283	2.70226407051	1.408088	0.048003	0	0	0	0	4917	0	19694	[struct stat="OK", time=3]
#	
35	mProjectPP  -X -x 1.01158 ../../data/data2/2mass-atlas-981204n-j0350185.fits p2mass-atlas-981204n-j0350185.fits ../../data/data2/region.hdr 	19648	0.223	35	exit 0	huscs005-kabe-2011-06-05-21-41-34-29584	0.241360	4.745996	4.504636	0.711255	4.563420	3.85216498375	1.808113	0.040002	0	0	0	0	4877	0	19695	[struct stat="OK", time=3]
#	
36	mProjectPP  -X -x 1.14678 ../../data/data2/2mass-atlas-981123n-j0710185.fits p2mass-atlas-981123n-j0710185.fits ../../data/data2/region.hdr 	19669	0.225	36	exit 0	huscs010-kabe-2011-06-05-21-41-29-25162	0.241360	3.600980	3.359620	0.795954	3.556646	2.7606921196	1.448090	0.072004	0	0	0	0	4848	0	19697	[struct stat="OK", time=2]
#	
37	mProjectPP  -X -x 1.01149 ../../data/data2/2mass-atlas-981204n-j0350209.fits p2mass-atlas-981204n-j0350209.fits ../../data/data2/region.hdr 	19670	0.228	37	exit 0	huscs003-kabe-2011-06-05-21-41-29-14472	0.261816	4.566627	4.304811	0.701337	4.490613	3.78927588463	1.840115	0.080005	0	0	0	0	4862	0	19699	[struct stat="OK", time=4]
#	
38	mProjectPP  -X -x 1.07875 ../../data/data2/2mass-atlas-001016n-j0910209.fits p2mass-atlas-001016n-j0910209.fits ../../data/data2/region.hdr 	19671	0.233	38	exit 0	huscs006-kabe-2011-06-05-21-41-29-8241	0.261816	4.266220	4.004404	0.692088	4.258373	3.56628489494	1.408088	0.040002	0	0	0	0	4845	0	19700	[struct stat="OK", time=3]
#	
39	mProjectPP  -X -x 1.07895 ../../data/data2/2mass-atlas-001016n-j0910185.fits p2mass-atlas-001016n-j0910185.fits ../../data/data2/region.hdr 	19675	0.239	39	exit 0	huscs019-kabe-2011-06-05-21-41-29-11149	0.261816	3.898466	3.636650	0.662423	3.842875	3.18045186996	1.788112	0.080005	0	0	0	0	4833	0	19701	[struct stat="OK", time=4]
#	
40	mProjectPP  -X -x 0.95087 ../../data/data2/2mass-atlas-971021n-j0380080.fits p2mass-atlas-971021n-j0380080.fits ../../data/data2/region.hdr 	19673	0.239	40	exit 0	huscs007-kabe-2011-06-05-21-41-34-29936	0.261816	3.366118	3.104302	0.909209	3.327911	2.41870212555	1.468091	0.032002	0	0	0	0	4837	0	19702	[struct stat="OK", time=2]
#	
41	mProjectPP  -X -x 1.01822 ../../data/data2/2mass-atlas-981204n-j0450173.fits p2mass-atlas-981204n-j0450173.fits ../../data/data2/region.hdr 	19681	0.258	41	exit 0	huscs010-kabe-2011-06-05-21-41-34-25180	0.261816	3.831580	3.569764	0.849092	3.815721	2.96662902832	1.452091	0.036003	0	0	0	0	4823	0	19703	[struct stat="OK", time=3]
#	
42	mProjectPP  -X -x 1.01205 ../../data/data2/2mass-atlas-981204n-j0340091.fits p2mass-atlas-981204n-j0340091.fits ../../data/data2/region.hdr 	19679	0.258	42	exit 0	huscs008-kabe-2011-06-05-21-41-34-30578	0.261816	4.934298	4.672482	0.770951	4.866801	4.09584999084	1.832114	0.036003	0	0	0	0	4863	0	19704	[struct stat="OK", time=4]
#	
43	mProjectPP  -X -x 1.07885 ../../data/data2/2mass-atlas-001016n-j0910197.fits p2mass-atlas-001016n-j0910197.fits ../../data/data2/region.hdr 	19672	0.258	43	exit 0	huscs000-kabe-2011-06-05-21-41-34-9278	0.261816	4.435240	4.173424	0.667948	4.400051	3.73210310936	1.108070	0.048003	0	0	0	0	4838	0	19705	[struct stat="OK", time=3]
#	
44	mProjectPP  -X -x 1.02103 ../../data/data2/2mass-atlas-981204n-j0470173.fits p2mass-atlas-981204n-j0470173.fits ../../data/data2/region.hdr 	19682	0.267	44	exit 0	huscs009-kabe-2011-06-05-21-41-29-3662	0.296388	3.898196	3.601808	0.688340	3.842079	3.15373897552	1.824114	0.036002	0	0	0	0	4849	0	19706	[struct stat="OK", time=4]
#	
45	mProjectPP  -X -x 1.02047 ../../data/data2/2mass-atlas-981204n-j0470256.fits p2mass-atlas-981204n-j0470256.fits ../../data/data2/region.hdr 	19683	0.268	45	exit 0	huscs011-kabe-2011-06-05-21-41-29-18479	0.296388	3.415620	3.119232	0.772267	3.387784	2.61551690102	1.088068	0.016001	0	0	0	0	4834	0	19707	[struct stat="OK", time=2]
#	
46	mProjectPP  -X -x 1.02216 ../../data/data2/2mass-atlas-981204n-j0480021.fits p2mass-atlas-981204n-j0480021.fits ../../data/data2/region.hdr 	19684	0.298	46	exit 0	huscs007-kabe-2011-06-05-21-41-29-29922	0.299999	3.043953	2.743954	1.302388	3.032432	1.73004388809	1.048066	0.032002	0	0	0	0	4848	0	19708	[struct stat="OK", time=2]
#	
47	mProjectPP  -X -x 1.01953 ../../data/data2/2mass-atlas-981204n-j0460021.fits p2mass-atlas-981204n-j0460021.fits ../../data/data2/region.hdr 	19696	0.299	47	exit 0	huscs016-kabe-2011-06-05-21-41-29-23248	0.299999	4.326220	4.026221	0.818854	4.283757	3.46490311623	1.844116	0.084005	0	0	0	0	4831	0	19709	[struct stat="OK", time=3]
#	
48	mProjectPP  -X -x 1.14404 ../../data/data2/2mass-atlas-981123n-j0730244.fits p2mass-atlas-981123n-j0730244.fits ../../data/data2/region.hdr 	19698	0.351	48	exit 0	huscs019-kabe-2011-06-05-21-41-29-11154	0.351592	4.114842	3.763250	0.786917	4.106984	3.32006692886	1.752110	0.112007	0	0	0	0	4867	0	19714	[struct stat="OK", time=3]
#	
49	mProjectPP  -X -x 1.02310 ../../data/data2/2mass-atlas-981204n-j0490256.fits p2mass-atlas-981204n-j0490256.fits ../../data/data2/region.hdr 	19712	0.396	49	exit 0	huscs014-kabe-2011-06-05-21-41-34-26059	0.402945	3.222942	2.819997	1.170440	3.209347	2.03890681267	1.044065	0.036003	0	0	0	0	4863	0	19716	[struct stat="OK", time=2]
#	
50	mProjectPP  -X -x 1.14256 ../../data/data2/2mass-atlas-981123n-j0740021.fits p2mass-atlas-981123n-j0740021.fits ../../data/data2/region.hdr 	19710	0.396	50	exit 0	huscs005-kabe-2011-06-05-21-41-29-29563	0.402945	4.747348	4.344403	0.855335	4.613336	3.7580010891	1.804113	0.040003	0	0	0	0	4874	0	19717	[struct stat="OK", time=3]
#	
51	mProjectPP  -X -x 1.02301 ../../data/data2/2mass-atlas-981204n-j0490266.fits p2mass-atlas-981204n-j0490266.fits ../../data/data2/region.hdr 	19711	0.432	51	exit 0	huscs006-kabe-2011-06-05-21-41-29-8235	0.439400	3.363557	2.924157	1.173564	3.239978	2.06641387939	0.844053	0.024001	0	0	0	0	4428	0	19722	[struct stat="OK", time=2]
#	
52	mProjectPP  -X -x 1.02207 ../../data/data2/2mass-atlas-981204n-j0480009.fits p2mass-atlas-981204n-j0480009.fits ../../data/data2/region.hdr 	19713	0.440	52	exit 0	huscs015-kabe-2011-06-05-21-41-29-23173	0.445617	4.568702	4.123085	1.290253	4.527187	3.23693394661	1.840115	0.040002	0	0	0	0	4853	0	19724	[struct stat="OK", time=3]
#	
53	mProjectPP  -X -x 1.06709 ../../data/data2/2mass-atlas-981105n-j2460009.fits p2mass-atlas-981105n-j2460009.fits ../../data/data2/region.hdr 	19715	0.625	53	exit 0	huscs004-kabe-2011-06-05-21-41-29-14366	0.630811	4.326674	3.695863	1.312902	4.289963	2.97706103325	1.080068	0.036003	0	0	0	0	4862	0	19726	[struct stat="OK", time=3]
#	
54	mProjectPP  -X -x 1.02310 ../../data/data2/2mass-atlas-981204n-j0490244.fits p2mass-atlas-981204n-j0490244.fits ../../data/data2/region.hdr 	19719	0.626	54	exit 0	huscs015-kabe-2011-06-05-21-41-29-23165	0.630811	4.867735	4.236924	1.317369	4.788960	3.47159099579	1.820114	0.136008	0	0	0	0	4859	0	19727	[struct stat="OK", time=4]
#	
55	mProjectPP  -X -x 1.14404 ../../data/data2/2mass-atlas-981123n-j0730232.fits p2mass-atlas-981123n-j0730232.fits ../../data/data2/region.hdr 	19720	0.626	55	exit 0	huscs003-kabe-2011-06-05-21-41-29-14476	0.630811	3.643994	3.013183	1.313239	3.635552	2.3223130703	1.048065	0.024002	0	0	0	0	4876	0	19728	[struct stat="OK", time=2]
#	
56	mProjectPP  -X -x 1.14393 ../../data/data2/2mass-atlas-981123n-j0730256.fits p2mass-atlas-981123n-j0730256.fits ../../data/data2/region.hdr 	19718	0.626	56	exit 0	huscs017-kabe-2011-06-05-21-41-29-6570	0.630811	3.519569	2.888758	1.317327	3.412956	2.09562897682	1.088068	0.036003	0	0	0	0	4864	0	19729	[struct stat="OK", time=2]
#	
57	mProjectPP  -X -x 1.01794 ../../data/data2/2mass-atlas-981204n-j0450256.fits p2mass-atlas-981204n-j0450256.fits ../../data/data2/region.hdr 	19721	0.626	57	exit 0	huscs011-kabe-2011-06-05-21-41-29-18478	0.630811	4.058086	3.427275	1.334085	4.048378	2.71429300308	1.048065	0.020001	0	0	0	0	4823	0	19730	[struct stat="OK", time=3]
#	
58	mProjectPP  -X -x 1.14256 ../../data/data2/2mass-atlas-981123n-j0740009.fits p2mass-atlas-981123n-j0740009.fits ../../data/data2/region.hdr 	19723	0.626	58	exit 0	huscs014-kabe-2011-06-05-21-41-34-26056	0.630811	4.325142	3.694331	1.399237	4.259604	2.86036682129	1.064066	0.028002	0	0	0	0	4877	0	19731	[struct stat="OK", time=3]
#	
59	mProjectPP  -X -x 1.06414 ../../data/data2/2mass-atlas-981105n-j2470266.fits p2mass-atlas-981105n-j2470266.fits ../../data/data2/region.hdr 	19725	0.720	59	exit 0	huscs002-kabe-2011-06-05-21-41-34-26463	0.729135	4.363791	3.634656	1.316794	4.344113	3.02731895447	1.260079	0.068004	0	0	0	0	4436	0	19736	[struct stat="OK", time=3]
#	
60	mProjectPP  -X -x 1.14383 ../../data/data2/2mass-atlas-981123n-j0730266.fits p2mass-atlas-981123n-j0730266.fits ../../data/data2/region.hdr 	19735	1.011	60	exit 0	huscs004-kabe-2011-06-05-21-41-34-14375	1.026081	4.435493	3.409412	1.312999	4.401125	3.08812618256	1.280080	0.016001	0	0	0	0	4429	0	19739	[struct stat="OK", time=3]
#	
61	mProjectPP  -X -x 1.02216 ../../data/data2/2mass-atlas-981204n-j0480033.fits p2mass-atlas-981204n-j0480033.fits ../../data/data2/region.hdr 	19737	1.011	61	exit 0	huscs018-kabe-2011-06-05-21-41-29-2891	1.026081	4.324114	3.298033	1.447059	4.254180	2.80712103844	1.488093	0.104006	0	0	0	0	4846	0	19740	[struct stat="OK", time=3]
#	
62	mProjectPP  -X -x 1.01316 ../../data/data2/2mass-atlas-981204n-j0420044.fits p2mass-atlas-981204n-j0420044.fits ../../data/data2/region.hdr 	19738	1.128	62	exit 0	huscs000-kabe-2011-06-05-21-41-34-9281	1.154570	5.736847	4.582277	1.334034	5.351253	4.0172188282	1.168073	0.064004	0	0	0	0	4791	0	19742	[struct stat="OK", time=4]
#	
63	mProjectPP  -X -x 0.96037 ../../data/data2/2mass-atlas-971024n-j0080033.fits p2mass-atlas-971024n-j0080033.fits ../../data/data2/region.hdr 	19741	1.197	63	exit 0	huscs007-kabe-2011-06-05-21-41-29-29921	1.197493	4.324641	3.127148	1.390147	4.258043	2.8678958416	1.032065	0.044002	0	0	0	0	4777	0	19744	[struct stat="OK", time=3]
#	
65	mProjectPP  -X -x 0.96028 ../../data/data2/2mass-atlas-971024n-j0080044.fits p2mass-atlas-971024n-j0080044.fits ../../data/data2/region.hdr 	19745	1.328	65	exit 0	huscs019-kabe-2011-06-05-21-41-29-11144	1.368451	4.748113	3.379662	1.568964	4.660423	3.09145903587	1.036064	0.068005	0	0	0	0	4784	0	19750	[struct stat="OK", time=3]
#	
66	mProjectPP  -X -x 1.01625 ../../data/data2/2mass-atlas-981204n-j0440021.fits p2mass-atlas-981204n-j0440021.fits ../../data/data2/region.hdr 	19747	1.369	66	exit 0	huscs005-kabe-2011-06-05-21-41-34-29588	1.370016	3.601476	2.231460	1.570614	3.579496	2.00888204575	1.084067	0.048003	0	0	0	0	4815	0	19751	[struct stat="OK", time=2]
#	
67	mProjectPP  -X -x 0.95852 ../../data/data2/2mass-atlas-971024n-j0090220.fits p2mass-atlas-971024n-j0090220.fits ../../data/data2/region.hdr 	19748	1.369	67	exit 0	huscs005-kabe-2011-06-05-21-41-39-29593	1.370016	4.868295	3.498279	1.567936	4.806422	3.23848581314	1.076067	0.060003	0	0	0	0	4783	0	19753	[struct stat="OK", time=4]
#	
68	mProjectPP  -X -x 1.01475 ../../data/data2/2mass-atlas-981204n-j0430232.fits p2mass-atlas-981204n-j0430232.fits ../../data/data2/region.hdr 	19752	1.444	68	exit 0	huscs005-kabe-2011-06-05-21-41-29-29564	1.444801	3.804757	2.359956	1.612921	3.727377	2.11445617676	1.088068	0.024002	0	0	0	0	4798	0	19755	[struct stat="OK", time=2]
#	
69	mProjectPP  -X -x 1.14583 ../../data/data2/2mass-atlas-981123n-j0720044.fits p2mass-atlas-981123n-j0720044.fits ../../data/data2/region.hdr 	19754	1.479	69	exit 0	huscs008-kabe-2011-06-05-21-41-34-30579	1.478902	4.568003	3.089101	1.648859	4.521568	2.87270903587	1.024064	0.060004	0	0	0	0	4768	0	19757	[struct stat="OK", time=3]
#	
71	mProjectPP  -X -x 1.01316 ../../data/data2/2mass-atlas-981204n-j0420056.fits p2mass-atlas-981204n-j0420056.fits ../../data/data2/region.hdr 	19759	1.549	71	exit 0	huscs009-kabe-2011-06-05-21-41-34-3680	1.549236	4.107492	2.558256	1.665904	4.097495	2.43159103394	1.100069	0.036003	0	0	0	0	4792	0	19763	[struct stat="OK", time=3]
#	
72	mProjectPP  -X -x 1.01475 ../../data/data2/2mass-atlas-981204n-j0430244.fits p2mass-atlas-981204n-j0430244.fits ../../data/data2/region.hdr 	19760	1.559	72	exit 0	huscs004-kabe-2011-06-05-21-41-29-14368	1.559322	4.103518	2.544196	1.664852	4.094307	2.42945504189	1.084067	0.040003	0	0	0	0	4791	0	19764	[struct stat="OK", time=3]
#	
73	mProjectPP  -X -x 1.14583 ../../data/data2/2mass-atlas-981123n-j0720033.fits p2mass-atlas-981123n-j0720033.fits ../../data/data2/region.hdr 	19761	1.597	73	exit 0	huscs015-kabe-2011-06-05-21-41-29-23166	1.597916	4.325644	2.727728	1.697657	4.277038	2.57938098907	1.040065	0.092006	0	0	0	0	4838	0	19766	[struct stat="OK", time=3]
#	
75	mProjectPP  -X -x 1.01307 ../../data/data2/2mass-atlas-981204n-j0420033.fits p2mass-atlas-981204n-j0420033.fits ../../data/data2/region.hdr 	19765	1.647	75	exit 0	huscs008-kabe-2011-06-05-21-41-39-30585	1.647101	3.695254	2.048153	1.739556	3.669021	1.92946505547	1.028064	0.032002	0	0	0	0	4856	0	19770	[struct stat="OK", time=1]
#	
