work_idx	cmd	pid	dirs	time_req	run_idx	result	man_name	time_start	time_end	time_since_start	worker_time_start	worker_time_end	worker_time	utime	stime	maxrss	ixrss	idrss	isrss	minflt	majflt	io	io_filename
10	mProjectPP  -X -x 1.07498 ../../data/data2/2mass-atlas-001016n-j0980091.fits p2mass-atlas-001016n-j0980091.fits ../../data/data2/region.hdr	31113	['/home/kabe/svn/wf_set/montage/solvers/gxp_make']	0.302	0	exit 0	huscs000-kabe-2011-06-06-18-54-11-23376	0.354	3.443	3.089	0.625	3.441	2.816	1.772	0.048	0	0	0	0	4912	0	[struct stat="OK", time=3] 	-
11	mProjectPP  -X -x 0.95052 ../../data/data2/2mass-atlas-971021n-j0390173.fits p2mass-atlas-971021n-j0390173.fits ../../data/data2/region.hdr	31116	['/home/kabe/svn/wf_set/montage/solvers/gxp_make']	0.303	0	exit 0	huscs000-kabe-2011-06-06-18-54-11-23376	0.354	3.308	2.954	0.626	3.298	2.672	1.844	0.032	0	0	0	0	4895	0	[struct stat="OK", time=3] 	-
12	mProjectPP  -X -x 1.01167 ../../data/data2/2mass-atlas-981204n-j0350173.fits p2mass-atlas-981204n-j0350173.fits ../../data/data2/region.hdr	31115	['/home/kabe/svn/wf_set/montage/solvers/gxp_make']	0.303	0	exit 0	huscs000-kabe-2011-06-06-18-54-11-23376	0.354	2.834	2.480	0.628	2.832	2.203	1.368	0.040	0	0	0	0	4953	0	[struct stat="OK", time=2] 	-
13	mProjectPP  -X -x 1.01223 ../../data/data2/2mass-atlas-981204n-j0330185.fits p2mass-atlas-981204n-j0330185.fits ../../data/data2/region.hdr	31086	['/home/kabe/svn/wf_set/montage/solvers/gxp_make']	0.304	0	exit 0	huscs000-kabe-2011-06-06-18-54-11-23376	0.354	3.786	3.432	0.629	3.748	3.119	1.868	0.056	0	0	0	0	4969	0	[struct stat="OK", time=3] 	-
14	mProjectPP  -X -x 1.14678 ../../data/data2/2mass-atlas-981123n-j0710173.fits p2mass-atlas-981123n-j0710173.fits ../../data/data2/region.hdr	31114	['/home/kabe/svn/wf_set/montage/solvers/gxp_make']	0.305	0	exit 0	huscs000-kabe-2011-06-06-18-54-11-23376	0.354	3.635	3.281	0.630	3.603	2.973	1.856	0.040	0	0	0	0	4946	0	[struct stat="OK", time=3] 	-
15	mProjectPP  -X -x 1.04655 ../../data/data2/2mass-atlas-001025n-j0730220.fits p2mass-atlas-001025n-j0730220.fits ../../data/data2/region.hdr	31118	['/home/kabe/svn/wf_set/montage/solvers/gxp_make']	0.305	0	exit 0	huscs000-kabe-2011-06-06-18-54-11-23376	0.354	4.179	3.825	0.631	4.176	3.545	1.540	0.068	0	0	0	0	4902	0	[struct stat="OK", time=4] 	-
16	mProjectPP  -X -x 1.07508 ../../data/data2/2mass-atlas-001016n-j0980068.fits p2mass-atlas-001016n-j0980068.fits ../../data/data2/region.hdr	31117	['/home/kabe/svn/wf_set/montage/solvers/gxp_make']	0.306	0	exit 0	huscs012-kabe-2011-06-06-18-57-15-726	0.354	2.863	2.509	0.679	2.854	2.175	1.808	0.024	0	0	0	0	4854	0	[struct stat="OK", time=2] 	-
17	mProjectPP  -X -x 0.95069 ../../data/data2/2mass-atlas-971021n-j0380044.fits p2mass-atlas-971021n-j0380044.fits ../../data/data2/region.hdr	31120	['/home/kabe/svn/wf_set/montage/solvers/gxp_make']	0.306	0	exit 0	huscs012-kabe-2011-06-06-18-57-15-726	0.354	3.201	2.847	0.680	3.192	2.511	1.880	0.056	0	0	0	0	4851	0	[struct stat="OK", time=3] 	-
18	mProjectPP  -X -x 1.04665 ../../data/data2/2mass-atlas-001025n-j0730209.fits p2mass-atlas-001025n-j0730209.fits ../../data/data2/region.hdr	31119	['/home/kabe/svn/wf_set/montage/solvers/gxp_make']	0.307	0	exit 0	huscs012-kabe-2011-06-06-18-57-15-726	0.354	3.944	3.590	0.681	3.938	3.257	1.780	0.064	0	0	0	0	4827	0	[struct stat="OK", time=3] 	-
19	mProjectPP  -X -x 0.95043 ../../data/data2/2mass-atlas-971021n-j0390197.fits p2mass-atlas-971021n-j0390197.fits ../../data/data2/region.hdr	31123	['/home/kabe/svn/wf_set/montage/solvers/gxp_make']	0.308	0	exit 0	huscs012-kabe-2011-06-06-18-57-15-726	0.354	3.392	3.038	0.682	3.379	2.697	1.820	0.048	0	0	0	0	4839	0	[struct stat="OK", time=3] 	-
20	mProjectPP  -X -x 0.95078 ../../data/data2/2mass-atlas-971021n-j0380068.fits p2mass-atlas-971021n-j0380068.fits ../../data/data2/region.hdr	31124	['/home/kabe/svn/wf_set/montage/solvers/gxp_make']	0.309	0	exit 0	huscs012-kabe-2011-06-06-18-57-15-726	0.354	3.168	2.813	0.682	3.160	2.477	1.876	0.032	0	0	0	0	4850	0	[struct stat="OK", time=3] 	-
21	mProjectPP  -X -x 0.95043 ../../data/data2/2mass-atlas-971021n-j0390209.fits p2mass-atlas-971021n-j0390209.fits ../../data/data2/region.hdr	31121	['/home/kabe/svn/wf_set/montage/solvers/gxp_make']	0.310	0	exit 0	huscs012-kabe-2011-06-06-18-57-15-726	0.354	2.158	1.804	0.684	2.153	1.469	1.088	0.048	0	0	0	0	4844	0	[struct stat="OK", time=2] 	-
22	mProjectPP  -X -x 1.04645 ../../data/data2/2mass-atlas-001025n-j0730232.fits p2mass-atlas-001025n-j0730232.fits ../../data/data2/region.hdr	31126	['/home/kabe/svn/wf_set/montage/solvers/gxp_make']	0.310	0	exit 0	huscs012-kabe-2011-06-06-18-57-15-726	0.354	3.837	3.483	0.685	3.806	3.121	1.852	0.048	0	0	0	0	4831	0	[struct stat="OK", time=3] 	-
23	mProjectPP  -X -x 1.07865 ../../data/data2/2mass-atlas-001016n-j0910220.fits p2mass-atlas-001016n-j0910220.fits ../../data/data2/region.hdr	31122	['/home/kabe/svn/wf_set/montage/solvers/gxp_make']	0.311	0	exit 0	huscs012-kabe-2011-06-06-18-57-15-726	0.354	3.617	3.263	0.686	3.596	2.910	1.704	0.040	0	0	0	0	4861	0	[struct stat="OK", time=3] 	-
24	mProjectPP  -X -x 1.14646 ../../data/data2/2mass-atlas-981123n-j0710220.fits p2mass-atlas-981123n-j0710220.fits ../../data/data2/region.hdr	31129	['/home/kabe/svn/wf_set/montage/solvers/gxp_make']	0.312	0	exit 0	huscs012-kabe-2011-06-06-18-57-15-726	0.354	3.552	3.198	0.688	3.542	2.854	1.840	0.064	0	0	0	0	4872	0	[struct stat="OK", time=3] 	-
25	mProjectPP  -X -x 1.07508 ../../data/data2/2mass-atlas-001016n-j0980056.fits p2mass-atlas-001016n-j0980056.fits ../../data/data2/region.hdr	31131	['/home/kabe/svn/wf_set/montage/solvers/gxp_make']	0.313	0	exit 0	huscs012-kabe-2011-06-06-18-57-15-726	0.354	3.657	3.302	0.689	3.650	2.962	1.848	0.040	0	0	0	0	4852	0	[struct stat="OK", time=3] 	-
26	mProjectPP  -X -x 0.95034 ../../data/data2/2mass-atlas-971021n-j0390232.fits p2mass-atlas-971021n-j0390232.fits ../../data/data2/region.hdr	31132	['/home/kabe/svn/wf_set/montage/solvers/gxp_make']	0.313	0	exit 0	huscs012-kabe-2011-06-06-18-57-15-726	0.354	3.437	3.083	0.689	3.429	2.739	1.856	0.044	0	0	0	0	4844	0	[struct stat="OK", time=3] 	-
27	mProjectPP  -X -x 1.01139 ../../data/data2/2mass-atlas-981204n-j0350220.fits p2mass-atlas-981204n-j0350220.fits ../../data/data2/region.hdr	31134	['/home/kabe/svn/wf_set/montage/solvers/gxp_make']	0.314	0	exit 0	huscs012-kabe-2011-06-06-18-57-15-726	0.354	3.070	2.716	0.690	3.061	2.371	1.528	0.036	0	0	0	0	4885	0	[struct stat="OK", time=2] 	-
28	mProjectPP  -X -x 1.01195 ../../data/data2/2mass-atlas-981204n-j0340080.fits p2mass-atlas-981204n-j0340080.fits ../../data/data2/region.hdr	31135	['/home/kabe/svn/wf_set/montage/solvers/gxp_make']	0.315	0	exit 0	huscs012-kabe-2011-06-06-18-57-15-726	0.354	3.578	3.224	0.691	3.542	2.851	1.868	0.032	0	0	0	0	4896	0	[struct stat="OK", time=3] 	-
29	mProjectPP  -X -x 0.95069 ../../data/data2/2mass-atlas-971021n-j0380056.fits p2mass-atlas-971021n-j0380056.fits ../../data/data2/region.hdr	31133	['/home/kabe/svn/wf_set/montage/solvers/gxp_make']	0.316	0	exit 0	huscs012-kabe-2011-06-06-18-57-15-726	0.354	3.395	3.041	0.692	3.381	2.689	1.840	0.112	0	0	0	0	4849	0	[struct stat="OK", time=3] 	-
30	mProjectPP  -X -x 1.14657 ../../data/data2/2mass-atlas-981123n-j0710209.fits p2mass-atlas-981123n-j0710209.fits ../../data/data2/region.hdr	31136	['/home/kabe/svn/wf_set/montage/solvers/gxp_make']	0.317	0	exit 0	huscs012-kabe-2011-06-06-18-57-15-726	0.354	3.273	2.919	0.693	3.266	2.573	1.888	0.024	0	0	0	0	4864	0	[struct stat="OK", time=3] 	-
31	mProjectPP  -X -x 1.07498 ../../data/data2/2mass-atlas-001016n-j0980080.fits p2mass-atlas-001016n-j0980080.fits ../../data/data2/region.hdr	31137	['/home/kabe/svn/wf_set/montage/solvers/gxp_make']	0.318	0	exit 0	huscs012-kabe-2011-06-06-18-57-15-726	0.354	3.010	2.656	0.694	3.001	2.307	1.856	0.036	0	0	0	0	4853	0	[struct stat="OK", time=2] 	-
32	mProjectPP  -X -x 1.14667 ../../data/data2/2mass-atlas-981123n-j0710197.fits p2mass-atlas-981123n-j0710197.fits ../../data/data2/region.hdr	31138	['/home/kabe/svn/wf_set/montage/solvers/gxp_make']	0.319	0	exit 0	huscs014-kabe-2011-06-06-18-57-15-8356	0.354	3.830	3.476	0.680	3.793	3.113	1.864	0.028	0	0	0	0	4872	0	[struct stat="OK", time=3] 	-
33	mProjectPP  -X -x 1.01158 ../../data/data2/2mass-atlas-981204n-j0350185.fits p2mass-atlas-981204n-j0350185.fits ../../data/data2/region.hdr	31139	['/home/kabe/svn/wf_set/montage/solvers/gxp_make']	0.320	0	exit 0	huscs014-kabe-2011-06-06-18-57-15-8356	0.354	5.639	5.285	0.681	5.632	4.951	1.844	0.068	0	0	0	0	4884	0	[struct stat="OK", time=5] 	-
34	mProjectPP  -X -x 1.01158 ../../data/data2/2mass-atlas-981204n-j0350197.fits p2mass-atlas-981204n-j0350197.fits ../../data/data2/region.hdr	31140	['/home/kabe/svn/wf_set/montage/solvers/gxp_make']	0.320	0	exit 0	huscs014-kabe-2011-06-06-18-57-15-8356	0.354	4.035	3.681	0.682	4.026	3.344	1.872	0.056	0	0	0	0	4883	0	[struct stat="OK", time=3] 	-
35	mProjectPP  -X -x 0.95043 ../../data/data2/2mass-atlas-971021n-j0390220.fits p2mass-atlas-971021n-j0390220.fits ../../data/data2/region.hdr	31130	['/home/kabe/svn/wf_set/montage/solvers/gxp_make']	0.321	0	exit 0	huscs014-kabe-2011-06-06-18-57-15-8356	0.354	3.006	2.652	0.682	2.993	2.311	1.416	0.040	0	0	0	0	4840	0	[struct stat="OK", time=2] 	-
36	mProjectPP  -X -x 1.14678 ../../data/data2/2mass-atlas-981123n-j0710185.fits p2mass-atlas-981123n-j0710185.fits ../../data/data2/region.hdr	31141	['/home/kabe/svn/wf_set/montage/solvers/gxp_make']	0.322	0	exit 0	huscs014-kabe-2011-06-06-18-57-15-8356	0.354	4.551	4.197	0.683	4.545	3.862	1.864	0.036	0	0	0	0	4871	0	[struct stat="OK", time=4] 	-
40	mProjectPP  -X -x 0.95087 ../../data/data2/2mass-atlas-971021n-j0380080.fits p2mass-atlas-971021n-j0380080.fits ../../data/data2/region.hdr	31148	['/home/kabe/svn/wf_set/montage/solvers/gxp_make']	0.325	0	exit 0	huscs014-kabe-2011-06-06-18-57-15-8356	0.354	4.729	4.375	0.686	4.725	4.038	1.860	0.036	0	0	0	0	4843	0	[struct stat="OK", time=4] 	-
41	mProjectPP  -X -x 1.01822 ../../data/data2/2mass-atlas-981204n-j0450173.fits p2mass-atlas-981204n-j0450173.fits ../../data/data2/region.hdr	31151	['/home/kabe/svn/wf_set/montage/solvers/gxp_make']	0.326	0	exit 0	huscs014-kabe-2011-06-06-18-57-15-8356	0.354	4.632	4.278	0.688	4.627	3.939	1.880	0.032	0	0	0	0	4838	0	[struct stat="OK", time=4] 	-
43	mProjectPP  -X -x 1.02103 ../../data/data2/2mass-atlas-981204n-j0470173.fits p2mass-atlas-981204n-j0470173.fits ../../data/data2/region.hdr	31153	['/home/kabe/svn/wf_set/montage/solvers/gxp_make']	0.327	0	exit 0	huscs014-kabe-2011-06-06-18-57-15-8356	0.354	3.384	3.030	0.689	3.372	2.683	1.880	0.020	0	0	0	0	4858	0	[struct stat="OK", time=3] 	-
44	mProjectPP  -X -x 1.01953 ../../data/data2/2mass-atlas-981204n-j0460021.fits p2mass-atlas-981204n-j0460021.fits ../../data/data2/region.hdr	31158	['/home/kabe/svn/wf_set/montage/solvers/gxp_make']	0.328	0	exit 0	huscs014-kabe-2011-06-06-18-57-15-8356	0.354	4.501	4.147	0.690	4.495	3.805	1.760	0.024	0	0	0	0	4844	0	[struct stat="OK", time=4] 	-
45	mProjectPP  -X -x 1.02047 ../../data/data2/2mass-atlas-981204n-j0470256.fits p2mass-atlas-981204n-j0470256.fits ../../data/data2/region.hdr	31155	['/home/kabe/svn/wf_set/montage/solvers/gxp_make']	0.329	0	exit 0	huscs014-kabe-2011-06-06-18-57-15-8356	0.354	4.334	3.980	0.691	4.327	3.636	1.856	0.012	0	0	0	0	4981	0	[struct stat="OK", time=4] 	-
46	mProjectPP  -X -x 1.02216 ../../data/data2/2mass-atlas-981204n-j0480021.fits p2mass-atlas-981204n-j0480021.fits ../../data/data2/region.hdr	31157	['/home/kabe/svn/wf_set/montage/solvers/gxp_make']	0.329	0	exit 0	huscs014-kabe-2011-06-06-18-57-15-8356	0.354	4.885	4.531	0.693	4.880	4.187	1.904	0.044	0	0	0	0	4867	0	[struct stat="OK", time=4] 	-
48	mProjectPP  -X -x 1.14404 ../../data/data2/2mass-atlas-981123n-j0730244.fits p2mass-atlas-981123n-j0730244.fits ../../data/data2/region.hdr	31159	['/home/kabe/svn/wf_set/montage/solvers/gxp_make']	0.331	0	exit 0	huscs017-kabe-2011-06-06-18-57-17-21024	0.354	3.975	3.621	0.723	3.962	3.239	1.924	0.040	0	0	0	0	4945	0	[struct stat="OK", time=3] 	-
49	mProjectPP  -X -x 1.02301 ../../data/data2/2mass-atlas-981204n-j0490266.fits p2mass-atlas-981204n-j0490266.fits ../../data/data2/region.hdr	31161	['/home/kabe/svn/wf_set/montage/solvers/gxp_make']	0.331	0	exit 0	huscs017-kabe-2011-06-06-18-57-17-21024	0.354	4.155	3.801	0.724	4.145	3.421	1.492	0.036	0	0	0	0	4451	0	[struct stat="OK", time=4] 	-
50	mProjectPP  -X -x 1.02310 ../../data/data2/2mass-atlas-981204n-j0490256.fits p2mass-atlas-981204n-j0490256.fits ../../data/data2/region.hdr	31162	['/home/kabe/svn/wf_set/montage/solvers/gxp_make']	0.332	0	exit 0	huscs017-kabe-2011-06-06-18-57-17-21024	0.354	4.715	4.361	0.724	4.707	3.983	1.920	0.040	0	0	0	0	4877	0	[struct stat="OK", time=4] 	-
55	mProjectPP  -X -x 1.01794 ../../data/data2/2mass-atlas-981204n-j0450256.fits p2mass-atlas-981204n-j0450256.fits ../../data/data2/region.hdr	31168	['/home/kabe/svn/wf_set/montage/solvers/gxp_make']	0.335	0	exit 0	huscs017-kabe-2011-06-06-18-57-17-21024	0.354	4.067	3.713	0.732	4.048	3.317	1.856	0.008	0	0	0	0	4832	0	[struct stat="OK", time=3] 	-
58	mProjectPP  -X -x 1.06414 ../../data/data2/2mass-atlas-981105n-j2470266.fits p2mass-atlas-981105n-j2470266.fits ../../data/data2/region.hdr	31171	['/home/kabe/svn/wf_set/montage/solvers/gxp_make']	0.338	0	exit 0	huscs017-kabe-2011-06-06-18-57-17-21024	0.354	4.752	4.398	0.734	4.745	4.010	1.544	0.032	0	0	0	0	4452	0	[struct stat="OK", time=4] 	-
59	mProjectPP  -X -x 1.14256 ../../data/data2/2mass-atlas-981123n-j0740009.fits p2mass-atlas-981123n-j0740009.fits ../../data/data2/region.hdr	31169	['/home/kabe/svn/wf_set/montage/solvers/gxp_make']	0.338	0	exit 0	huscs017-kabe-2011-06-06-18-57-17-21024	0.354	4.336	3.982	0.735	4.325	3.590	1.888	0.032	0	0	0	0	4891	0	[struct stat="OK", time=4] 	-
60	mProjectPP  -X -x 1.14383 ../../data/data2/2mass-atlas-981123n-j0730266.fits p2mass-atlas-981123n-j0730266.fits ../../data/data2/region.hdr	31172	['/home/kabe/svn/wf_set/montage/solvers/gxp_make']	0.339	0	exit 0	huscs017-kabe-2011-06-06-18-57-17-21024	0.354	3.886	3.532	0.736	3.827	3.091	1.540	0.044	0	0	0	0	4452	0	[struct stat="OK", time=3] 	-
61	mProjectPP  -X -x 1.02216 ../../data/data2/2mass-atlas-981204n-j0480033.fits p2mass-atlas-981204n-j0480033.fits ../../data/data2/region.hdr	31173	['/home/kabe/svn/wf_set/montage/solvers/gxp_make']	0.339	0	exit 0	huscs017-kabe-2011-06-06-18-57-17-21024	0.354	5.641	5.287	0.737	5.630	4.893	1.848	0.032	0	0	0	0	4862	0	[struct stat="OK", time=5] 	-
64	mProjectPP  -X -x 1.01485 ../../data/data2/2mass-atlas-981204n-j0430220.fits p2mass-atlas-981204n-j0430220.fits ../../data/data2/region.hdr	31176	['/home/kabe/svn/wf_set/montage/solvers/gxp_make']	0.342	0	exit 0	huscs014-kabe-2011-06-06-18-57-17-8401	0.354	4.416	4.062	0.740	4.408	3.667	1.816	0.032	0	0	0	0	4808	0	[struct stat="OK", time=4] 	-
68	mProjectPP  -X -x 1.01475 ../../data/data2/2mass-atlas-981204n-j0430232.fits p2mass-atlas-981204n-j0430232.fits ../../data/data2/region.hdr	31180	['/home/kabe/svn/wf_set/montage/solvers/gxp_make']	0.346	0	exit 0	huscs014-kabe-2011-06-06-18-57-17-8401	0.354	4.969	4.615	0.743	4.966	4.222	1.836	0.048	0	0	0	0	4804	0	[struct stat="OK", time=4] 	-
69	mProjectPP  -X -x 0.95852 ../../data/data2/2mass-atlas-971024n-j0090220.fits p2mass-atlas-971024n-j0090220.fits ../../data/data2/region.hdr	31179	['/home/kabe/svn/wf_set/montage/solvers/gxp_make']	0.347	0	exit 0	huscs014-kabe-2011-06-06-18-57-17-8401	0.354	3.987	3.633	0.744	3.976	3.232	1.864	0.032	0	0	0	0	4793	0	[struct stat="OK", time=3] 	-
77	mProjectPP  -X -x 1.01307 ../../data/data2/2mass-atlas-981204n-j0420033.fits p2mass-atlas-981204n-j0420033.fits ../../data/data2/region.hdr	31187	['/home/kabe/svn/wf_set/montage/solvers/gxp_make']	0.362	0	exit 0	huscs014-kabe-2011-06-06-18-57-17-8401	0.363	4.828	4.465	0.752	4.818	4.066	1.872	0.032	0	0	0	0	4814	0	[struct stat="OK", time=4] 	-
79	mProjectPP  -X -x 1.02235 ../../data/data2/2mass-atlas-981204n-j0480080.fits p2mass-atlas-981204n-j0480080.fits ../../data/data2/region.hdr	31191	['/home/kabe/svn/wf_set/montage/solvers/gxp_make']	0.365	0	exit 0	huscs014-kabe-2011-06-06-18-57-17-8401	0.365	3.199	2.833	0.755	3.184	2.428	1.880	0.040	0	0	0	0	4855	0	[struct stat="OK", time=3] 	-
80	mProjectPP  -X -x 1.02329 ../../data/data2/2mass-atlas-981204n-j0490220.fits p2mass-atlas-981204n-j0490220.fits ../../data/data2/region.hdr	31192	['/home/kabe/svn/wf_set/montage/solvers/gxp_make']	0.371	0	exit 0	huscs006-kabe-2011-06-06-18-57-15-22476	0.372	5.007	4.636	0.678	5.003	4.325	1.876	0.156	0	0	0	0	4897	0	[struct stat="OK", time=4] 	-
81	mProjectPP  -X -x 1.02075 ../../data/data2/2mass-atlas-981204n-j0470220.fits p2mass-atlas-981204n-j0470220.fits ../../data/data2/region.hdr	31193	['/home/kabe/svn/wf_set/montage/solvers/gxp_make']	0.373	0	exit 0	huscs006-kabe-2011-06-06-18-57-15-22476	0.375	4.469	4.093	0.680	4.453	3.773	1.904	0.036	0	0	0	0	4864	0	[struct stat="OK", time=4] 	-
82	mProjectPP  -X -x 1.02226 ../../data/data2/2mass-atlas-981204n-j0480056.fits p2mass-atlas-981204n-j0480056.fits ../../data/data2/region.hdr	31195	['/home/kabe/svn/wf_set/montage/solvers/gxp_make']	0.374	0	exit 0	huscs006-kabe-2011-06-06-18-57-15-22476	0.375	4.177	3.802	0.680	4.159	3.479	1.872	0.028	0	0	0	0	4880	0	[struct stat="OK", time=4] 	-
83	mProjectPP  -X -x 1.02339 ../../data/data2/2mass-atlas-981204n-j0490209.fits p2mass-atlas-981204n-j0490209.fits ../../data/data2/region.hdr	31194	['/home/kabe/svn/wf_set/montage/solvers/gxp_make']	0.374	0	exit 0	huscs006-kabe-2011-06-06-18-57-15-22476	0.375	4.319	3.944	0.681	4.311	3.630	1.912	0.020	0	0	0	0	4885	0	[struct stat="OK", time=4] 	-
84	mProjectPP  -X -x 1.02085 ../../data/data2/2mass-atlas-981204n-j0470197.fits p2mass-atlas-981204n-j0470197.fits ../../data/data2/region.hdr	31196	['/home/kabe/svn/wf_set/montage/solvers/gxp_make']	0.379	0	exit 0	huscs006-kabe-2011-06-06-18-57-15-22476	0.379	2.907	2.528	0.682	2.894	2.211	1.896	0.024	0	0	0	0	4863	0	[struct stat="OK", time=2] 	-
85	mProjectPP  -X -x 1.02226 ../../data/data2/2mass-atlas-981204n-j0480068.fits p2mass-atlas-981204n-j0480068.fits ../../data/data2/region.hdr	31198	['/home/kabe/svn/wf_set/montage/solvers/gxp_make']	0.385	0	exit 0	huscs006-kabe-2011-06-06-18-57-15-22476	0.386	3.987	3.601	0.684	3.973	3.290	1.824	0.020	0	0	0	0	4878	0	[struct stat="OK", time=3] 	-
86	mProjectPP  -X -x 1.01812 ../../data/data2/2mass-atlas-981204n-j0450209.fits p2mass-atlas-981204n-j0450209.fits ../../data/data2/region.hdr	31197	['/home/kabe/svn/wf_set/montage/solvers/gxp_make']	0.387	0	exit 0	huscs006-kabe-2011-06-06-18-57-15-22476	0.388	4.140	3.751	0.686	4.133	3.447	1.884	0.032	0	0	0	0	4845	0	[struct stat="OK", time=3] 	-
87	mProjectPP  -X -x 1.02075 ../../data/data2/2mass-atlas-981204n-j0470209.fits p2mass-atlas-981204n-j0470209.fits ../../data/data2/region.hdr	31199	['/home/kabe/svn/wf_set/montage/solvers/gxp_make']	0.388	0	exit 0	huscs006-kabe-2011-06-06-18-57-15-22476	0.388	4.526	4.138	0.687	4.519	3.833	1.908	0.016	0	0	0	0	4864	0	[struct stat="OK", time=4] 	-
88	mProjectPP  -X -x 1.14414 ../../data/data2/2mass-atlas-981123n-j0730220.fits p2mass-atlas-981123n-j0730220.fits ../../data/data2/region.hdr	31200	['/home/kabe/svn/wf_set/montage/solvers/gxp_make']	0.390	0	exit 0	huscs006-kabe-2011-06-06-18-57-15-22476	0.391	4.231	3.840	0.689	4.224	3.536	1.920	0.036	0	0	0	0	4886	0	[struct stat="OK", time=4] 	-
